Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,SiglaUf,CodMunicipio,DesignacaoEmissao,FreqInicialMHz,FreqFinalMHz,Azimute,CodTipoClasseEstacao,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataPrimeiroLicenciamento
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,200KG7W,890.00000000,891.50000000,108.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,35.0,000910502519,32.500,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,890.00000000,891.50000000,340.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,019980701882,45.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,2155.00000000,2165.00000000,80.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,018930701882,40.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,59072012,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,20M0G7W,2670.00000000,2690.00000000,90.0,FB,817,011021100324,16.4,28.0,74.60,.00,V,36.0,024251201882,30.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,200KG7W,869.00000000,880.00000000,220.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,35.0,000910502519,32.500,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,1850.00000000,1860.00000000,119.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,006030301882,35.300,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,59072012,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,20M0G7W,2670.00000000,2690.00000000,30.0,FB,396,034641103518,13.8,27.0,65.00,.00,X,62.0,024251201882,30.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,59072012,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,20M0G7W,2670.00000000,2690.00000000,260.0,FB,396,034641103518,13.8,27.0,65.00,.00,X,62.0,024251201882,30.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,869.00000000,880.00000000,249.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,000910502519,32.500,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,869.00000000,880.00000000,359.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,000910502519,32.500,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,869.00000000,880.00000000,30.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,019980701882,45.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,869.00000000,880.00000000,260.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,019980701882,45.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,1850.00000000,1860.00000000,249.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,006030301882,35.300,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,1850.00000000,1860.00000000,359.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,006030301882,35.300,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,59072012,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,20M0G7W,2670.00000000,2690.00000000,85.0,FB,396,034641103518,13.8,27.0,65.00,.00,X,62.0,024251201882,30.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,1M25G7W,869.00000000,880.00000000,.0,FB,817,013390301705,16.5,27.0,85.00,.00,X,64.0,010610300502,36.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,1M25G7W,869.00000000,880.00000000,120.0,FB,817,013390301705,16.5,27.0,85.00,.00,X,64.0,010610300502,36.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,869.00000000,880.00000000,85.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,019980701882,45.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,890.00000000,891.50000000,119.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,000910502519,32.500,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,890.00000000,891.50000000,249.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,000910502519,32.500,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,890.00000000,891.50000000,359.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,000910502519,32.500,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,1M25G7W,890.00000000,891.50000000,120.0,FB,817,013390301705,16.5,27.0,85.00,.00,X,64.0,010610300502,36.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,890.00000000,891.50000000,260.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,019980701882,45.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,2155.00000000,2165.00000000,30.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,018930701882,40.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,2155.00000000,2165.00000000,85.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,018930701882,40.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,2155.00000000,2165.00000000,260.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,018930701882,40.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,200KG7W,869.00000000,880.00000000,119.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,60.0,000910502519,32.500,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,1M25G7W,869.00000000,880.00000000,240.0,FB,817,013390301705,16.5,27.0,85.00,.00,X,64.0,010610300502,36.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,1M25G7W,890.00000000,891.50000000,.0,FB,817,013390301705,16.5,27.0,85.00,.00,X,64.0,010610300502,36.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,1M25G7W,890.00000000,891.50000000,240.0,FB,817,013390301705,16.5,27.0,85.00,.00,X,64.0,010610300502,36.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,890.00000000,891.50000000,30.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,019980701882,45.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677604,"BR 364, KM 22										,S/N,S/B",RO,1100809,5M00G9W,890.00000000,891.50000000,85.0,FB,396,004170801705,13.1,20.0,85.00,.00,X,66.0,019980701882,45.000,08S474959,63W423666,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2155.00000000,2165.00000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2155.00000000,2165.00000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,33992016,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2135.00000000,2145.00000000,280.0,FB,817,013390301705,16.5,27.0,85.00,.00,V,88.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,33992016,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2135.00000000,2145.00000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,33992016,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2135.00000000,2145.00000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,869.00000000,880.00000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,019980701882,45.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,890.00000000,891.50000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,000910502519,32.500,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,1M25G7W,890.00000000,891.50000000,160.0,FB,817,013390301705,16.5,27.0,85.00,-6.00,V,88.0,010610300502,36.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,890.00000000,891.50000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,019980701882,45.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,1975.00000000,1980.00000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,92.0,021040701882,27.700,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2155.00000000,2165.00000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,33992016,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2135.00000000,2145.00000000,160.0,FB,817,013390301705,16.5,27.0,85.00,-6.00,V,88.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,1850.00000000,1860.00000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,92.0,006030301882,35.300,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,869.00000000,880.00000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,000910502519,32.500,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,869.00000000,880.00000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,92.0,000910502519,32.500,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,1M25G7W,869.00000000,880.00000000,280.0,FB,817,013390301705,16.5,27.0,85.00,.00,V,88.0,010610300502,36.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,869.00000000,880.00000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,019980701882,45.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,869.00000000,880.00000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,019980701882,45.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,890.00000000,891.50000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,000910502519,32.500,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,1M25G7W,890.00000000,891.50000000,280.0,FB,817,013390301705,16.5,27.0,85.00,.00,V,88.0,010610300502,36.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,33992016,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2135.00000000,2145.00000000,40.0,FB,817,013390301705,16.5,27.0,85.00,-6.00,V,88.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,33992016,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,2135.00000000,2145.00000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,018930701882,40.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,1850.00000000,1860.00000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,006030301882,35.300,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,1850.00000000,1860.00000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,006030301882,35.300,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,869.00000000,880.00000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,000910502519,32.500,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,1M25G7W,869.00000000,880.00000000,40.0,FB,817,013390301705,16.5,27.0,85.00,-6.00,V,88.0,010610300502,36.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,1M25G7W,869.00000000,880.00000000,160.0,FB,817,013390301705,16.5,27.0,85.00,-6.00,V,88.0,010610300502,36.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,890.00000000,891.50000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,92.0,000910502519,32.500,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,1M25G7W,890.00000000,891.50000000,40.0,FB,817,013390301705,16.5,27.0,85.00,-6.00,V,88.0,010610300502,36.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,890.00000000,891.50000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,019980701882,45.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,5M00G9W,890.00000000,891.50000000,268.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,91.0,019980701882,45.000,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,1975.00000000,1980.00000000,118.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,021040701882,27.700,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677639,"AVENIDA VILAGRAN CABRITA,171,CENTRO",RO,1100122,200KG7W,1975.00000000,1980.00000000,338.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,90.0,021040701882,27.700,10S525126,61W564382,28/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677647,"AV. BELO HORIZONTE C/ RUA GUAPORÉ, S/Nº, CENTRO         ,5557,CENTRO",RO,1100288,200KG7W,1850.00000000,1860.00000000,128.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,84.0,006030301882,35.300,11S434573,61W464425,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,677647,"AV. BELO HORIZONTE C/ RUA GUAPORÉ, S/Nº, CENTRO         ,5557,CENTRO",RO,1100288,200KG7W,1850.00000000,1860.00000000,238.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,84.0,006030301882,35.300,11S434573,61W464425,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677647,"AV. BELO HORIZONTE C/ RUA GUAPORÉ, S/Nº, CENTRO         ,5557,CENTRO",RO,1100288,200KG7W,869.00000000,880.00000000,128.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,84.0,000910502519,32.500,11S434573,61W464425,24/03/2003
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,677647,"AV. BELO HORIZONTE C/ RUA GUAPORÉ, S/Nº, CENTRO         ,5557,CENTRO",RO,1100288,1M25G7W,869.00000000,880.00000000,128.0,FB,817,013390301705,16.5,27.0,85.00,.00,V,81.0,010610300502,36.000,11S434573,61W464425,24/03/2003
